ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Page,Image,Coordinates
hiw-1_head-1,,hiw,1_head,kʷuti-k,kʷuti-k,kʷ u t i + k,,Tryon1976,,,^ kʷ u t i - k $,default,175,0004_p004.jpg,"782,525 782,619 1090,619 1090,525"
hiw-2_hair-1,,hiw,2_hair,n-uyu-k,n-uyu-k,n + u j u + k,,Tryon1976,,,^ n - u y u - k $,default,175,0004_p004.jpg,"1090,525 1090,619 1357,619 1357,525"
hiw-3_ear-1,,hiw,3_ear,toiŋo-k,toiŋo-k,t o i ŋ o + k,,Tryon1976,,,^ t o i ŋ o - k $,default,175,0004_p004.jpg,"1357,525 1357,619 1733,619 1733,525"
hiw-4_nose-1,,hiw,4_nose,miti-k,miti-k,m i t i + k,,Tryon1976,,,^ m i t i - k $,default,175,0004_p004.jpg,"1733,525 1733,619 2227,619 2227,525"
toga-1_head-1,,toga,1_head,kʷutu-k,kʷutu-k,kʷ u t u + k,,Tryon1976,,,^ kʷ u t u - k $,default,175,0004_p004.jpg,"782,619 782,690 1090,690 1090,619"
toga-2_hair-1,,toga,2_hair,lu-k,lu-k,l u + k,,Tryon1976,,,^ l u - k $,default,175,0004_p004.jpg,"1090,619 1090,690 1357,690 1357,619"
toga-3_ear-1,,toga,3_ear,delŋo-k,delŋo-k,d e l ŋ o + k,,Tryon1976,,,^ d e l ŋ o - k $,default,175,0004_p004.jpg,"1357,619 1357,690 1733,690 1733,619"
toga-4_nose-1,,toga,4_nose,mudu-k,mudu-k,m u d u + k,,Tryon1976,,,^ m u d u - k $,default,175,0004_p004.jpg,"1733,619 1733,690 2227,690 2227,619"
lehali-1_head-1,,lehali,1_head,kʷutu-k,kʷutu-k,kʷ u t u + k,,Tryon1976,,,^ kʷ u t u - k $,default,175,0004_p004.jpg,"782,690 782,748 1090,748 1090,690"
lehali-2_hair-1,,lehali,2_hair,wulu-k,wulu-k,w u l u + k,,Tryon1976,,,^ w u l u - k $,default,175,0004_p004.jpg,"1090,690 1090,748 1357,748 1357,690"
lehali-3_ear-1,,lehali,3_ear,ⁿdelŋo-k,ⁿdelŋo-k,ⁿd e l ŋ o + k,,Tryon1976,,,^ ⁿd e l ŋ o - k $,default,175,0004_p004.jpg,"1357,690 1357,748 1733,748 1733,690"
lehali-4_nose-1,,lehali,4_nose,muⁿd-k,muⁿd-k,m u ⁿd + k,,Tryon1976,,,^ m u ⁿd - k $,default,175,0004_p004.jpg,"1733,690 1733,748 2227,748 2227,690"
lehalurup-1_head-1,,lehalurup,1_head,ᵏpʷiči-k,ᵏpʷiči-k,kpʷ i tʃ i + k,,Tryon1976,,,^ ᵏpʷ i č i - k $,default,175,0004_p004.jpg,"782,748 782,819 1090,819 1090,748"
