ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Locality,Comment,Number,Region,FullName,Collector,SubFamily,Group,SubGroup
hiw,Hiw,hiww1237,Hiw,hiw,Papunesia,-13.126367,166.584857,Austronesian,Torres Is.,,1,To,Hiw,D.T.Tryon/D.A.Rawcliffe,New Hebrides,North & Central New Hebrides,East New Hebrides
toga,Toga,loto1240,Lo-Toga,lht,Papunesia,-13.334872,166.634338,Austronesian,Torres Is.,,2,To,Toga,D.T.Tryon/D.A.Rawcliffe,New Hebrides,North & Central New Hebrides,East New Hebrides
lehali,Lehali,leha1243,Lehali,tql,Papunesia,-13.5043,167.332,Austronesian,Banks Is.,,3,Ba,Lehali,D.T.Tryon/D.A.Rawcliffe,New Hebrides,North & Central New Hebrides,East New Hebrides
lehalurup,Lehalurup,leha1244,Lehalurup,urr,Papunesia,-13.542726,167.343342,Austronesian,Banks Is.,,4,Ba,Lehalurup,D.T.Tryon/D.A.Rawcliffe,New Hebrides,North & Central New Hebrides,East New Hebrides
motlav,Motlav,motl1237,Mwotlap,mlv,Papunesia,-13.655015,167.706277,Austronesian,Banks Is.,,5,Ba,Motlav,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
mota,Mota,mota1237,Mota,mtt,Papunesia,-13.835361,167.690924,Austronesian,Banks Is.,,6,Ba,Mota,D.T.Tryon/D.A.Rawcliffe,New Hebrides,North & Central New Hebrides,East New Hebrides
vatrata,Vatrata,vera1241,Vera'a,vra,Papunesia,-13.85181395,167.3958458,Austronesian,Banks Is.,,7,Ba,Vatrata,D.T.Tryon/D.A.Rawcliffe,New Hebrides,North & Central New Hebrides,East New Hebrides
sasar,Sasar,leme1238,Lemerig,lrz,Papunesia,-13.8072,167.39,Austronesian,Banks Is.,,8,Ba,Sasar,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
vetumboso,Vetumboso,vetu1237,Vetumboso,,Papunesia,-13.90299,167.45138,Austronesian,Banks Is.,,9,Ba,Vetumboso,D.T.Tryon/D.A.Rawcliffe,New Hebrides,North & Central New Hebrides,East New Hebrides
mosina,Mosina,vure1239,Vurës,msn,Papunesia,-13.90547984,167.5015434,Austronesian,Banks Is.,,10,Ba,Mosina,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
bek,Bek,leme1238,Lemerig,lrz,Papunesia,-13.739697,167.420676,Austronesian,Banks Is.,,11,Ba,Bek,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
nume,Nume,nume1241,Nume,tgs,Papunesia,-14.20655937,167.5152028,Austronesian,Banks Is.,,12,Ba,Nume,D.T.Tryon/D.A.Rawcliffe,New Hebrides,North & Central New Hebrides,East New Hebrides
dorig,Dorig,weta1242,Dorig,wwo,Papunesia,-14.366666,167.545897,Austronesian,Banks Is.,,13,Ba,Dorig,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
koro,Koro,koro1308,Koro-Olrat,krf,Papunesia,-14.35728954,167.4359024,Austronesian,Banks Is.,,14,Ba,Koro,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
wetamut,Wetamut,weta1242,Dorig,wwo,Papunesia,-14.29383609,167.5913197,Austronesian,Banks Is.,,15,Ba,Wetamut,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
lakona,Lakona,lako1245,Lakon,lkn,Papunesia,-14.29899,167.429382,Austronesian,Banks Is.,,16,Ba,Lakona,D.T.Tryon/D.A.Rawcliffe,New Hebrides,North & Central New Hebrides,East New Hebrides
merig,Merig,mwer1250,Mwerig,,Papunesia,-14.321628,167.794533,Austronesian,Banks Is.,,17,Ba,Merig,D.T.Tryon/D.A.Rawcliffe,New Hebrides,North & Central New Hebrides,East New Hebrides
merlav,Merlav,merl1237,Merlav,mrm,Papunesia,-14.450679,168.053527,Austronesian,Banks Is.,,18,Ba,Merlav,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
marino,Marino,mari1426,Sunwadia,mrb,Papunesia,-14.970047,168.057941,Austronesian,Maewo,,19,Ma,Marino,D.A.Rawcliffe,New Hebrides,North & Central New Hebrides,East New Hebrides
peterara,Peterara,cent2058,Central Maewo,mwo,Papunesia,-15.0146180470212,168.067899990012,Austronesian,Maewo,,20,Ma,Peterara,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
navenevene,Navenevene,baet1237,Baetora,btr,Papunesia,-15.0420987191013,168.071548300246,Austronesian,Maewo,,21,Ma,Navenevene,D.T.Tryon/D.A.Rawcliffe,New Hebrides,North & Central New Hebrides,East New Hebrides
tam,Tam,baet1237,Baetora,btr,Papunesia,-15.0842096481701,168.083616388036,Austronesian,Maewo,,22,Ma,Tam,D.A.Rawcliffe,New Hebrides,North & Central New Hebrides,East New Hebrides
nasawa,Nasawa,nasa1241,Nasawa,,Papunesia,-15.20185,168.11301,Austronesian,Maewo,,23,Ma,Nasawa,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
narovorovo,Narovorovo,naro1250,Narovorovo,,Papunesia,-15.18568,168.10934,Austronesian,Maewo,,24,Ma,Narovorovo,D.A.Rawcliffe,New Hebrides,North & Central New Hebrides,East New Hebrides
baetora,Baetora,baet1237,Baetora,btr,Papunesia,-15.2840347277638,168.115311845247,Austronesian,Maewo,,25,Ma,Baetora,D.A.Rawcliffe,New Hebrides,North & Central New Hebrides,East New Hebrides
wailengi,Wailengi,east2443,East Ambae,omb,Papunesia,-15.36846100709,167.938131324713,Austronesian,Aoba,,26,Ao,Wailengi,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
lolomatui,Lolomatui,east2443,East Ambae,omb,Papunesia,-15.2967893277431,167.908991705342,Austronesian,Aoba,,27,Ao,Lolomatui,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
ngwatua,Ngwatua,west2513,West Ambae,nnd,Papunesia,-15.4379261564498,167.682233039023,Austronesian,Aoba,,28,Ao,Ngwatua,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
lolsiwoi,Lolsiwoi,east2443,East Ambae,omb,Papunesia,-15.3523,167.89,Austronesian,Aoba,,29,Ao,Lolsiwoi,D.A.Rawcliffe,New Hebrides,North & Central New Hebrides,East New Hebrides
