ID,Name,Concepticon_ID,Concepticon_Gloss,Number
1_head,head,1256,HEAD,1
2_hair,hair,1040,HAIR,2
3_ear,ear,1247,EAR,3
4_nose,nose,1221,NOSE,4
5_tongue,tongue,1205,TONGUE,5
6_tooth,tooth,1380,TOOTH,6
7_eye,eye,1248,EYE,7
8_mouth,mouth,674,MOUTH,8
9_beard,beard,678,BEARD,9
10_chin,chin,1510,CHIN,10
11_shoulder,shoulder,1482,SHOULDER,11
12_hand,hand,1277,HAND,12
13_thumb,thumb,1781,THUMB,13
14_neck,neck,1333,NECK,14
15_breasts,breasts,1402,BREAST,15
16_rib,rib,801,RIB,16
17_belly,belly,1251,BELLY,17
18_guts,guts,1334,GUTS,18
19_heart,heart,1223,HEART,19
20_liver,liver,1224,LIVER,20
21_navel,navel,1838,NAVEL,21
22_kidney,kidney,489,KIDNEY,22
23_bodyhair,body hair,189,HAIR (BODY),23
24_penis,penis,1222,PENIS,24
25_testicles,testicles,797,TESTICLES,25
26_vulva,vulva,1837,VULVA,26
27_back,back,2323,BACK (PART),27
28_righthand,right hand,2183,RIGHT HAND,28
29_lefthand,left hand,2182,LEFT HAND,29
30_excrement,excrement,675,FAECES (EXCREMENT),30
31_vein,vein,1924,VEIN,31
32_thigh,thigh,471,UPPER LEG (THIGH),32
33_knee,knee,1371,KNEE,33
34_leg,leg,1297,LEG,34
35_ankle,ankle,803,ANKLE,35
36_heel,heel¹,980,HEEL,36
37_blood,blood,946,BLOOD,37
38_bone,bone,1394,BONE,38
39_skin,skin,763,SKIN,39
40_sore,sore,51,SORE,40
41_fat,fat,323,FAT (ORGANIC SUBSTANCE),41
42_sweat,sweat,126,SWEAT (PERSPIRE),42
43_tears,tears,1651,TEAR (OF EYE),43
44_father,father,1217,FATHER,44
45_mother,mother,1216,MOTHER,45
46_child,child,2099,CHILD,46
47_man,man,1554,MAN,47
48_woman,woman,962,WOMAN,48
49_husband,husband,1200,HUSBAND,49
50_name,name,1405,NAME,50
51_person,person,683,PERSON,51
52_wife,wife,1199,WIFE,52
