PAGE	NUMBER	CONCEPT	ERROR
69	53	unole	Transcription
274	218	we dl. incl.	Transcription
95	74	hale	Transcription
115	90	food (veg. )	Transcription
275	219	we dl. excl.	Transcription
284	226	die	Transcription
29	23	bodɣ hair	Transcription
73	55	uncle	Transcription
66	55	wiβe	Transcription
78	58	pig	Transcription
62	45	nother	Transcription
276	218	we dl. incl.	Transcription
277	219	we dl. excl.	Transcription
367	282	with	Transcription
51	10	sore	Transcription
275	218	we dl. incl.	Transcription
171	136	wavel	Transcription
13	8	mouth.	Transcription
297	135	sit	Transcription
116	90	food (veg. )	Transcription
278	218	we dl.incl	Transcription
