NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	FOOTNOTE
1	head	1256	HEAD
2	hair	1040	HAIR
3	ear	1247	EAR
4	nose	1221	NOSE
5	tongue	1205	TONGUE
6	tooth	1380	TOOTH
7	eye	1248	EYE
8	mouth	674	MOUTH
9	beard	678	BEARD
10	chin	1510	CHIN
11	shoulder	1482	SHOULDER
12	hand	1277	HAND
13	thumb	1781	THUMB
14	neck	1333	NECK
15	breasts	1402	BREAST
16	rib	801	RIB
17	belly	1251	BELLY
18	guts	1334	GUTS
19	heart	1223	HEART
20	liver	1224	LIVER
21	navel	1838	NAVEL
22	kidney	489	KIDNEY
23	body hair	189	HAIR (BODY)
24	penis	1222	PENIS
25	testicles	797	TESTICLES
26	vulva	1837	VULVA
27	back	1291	BACK
28	right hand	2183	RIGHT HAND
29	left hand	2182	LEFT HAND
30	excrement	675	FAECES (EXCREMENT)
31	vein	1924	VEIN
32	thigh	471	UPPER LEG (THIGH)
33	knee	1371	KNEE
34	leg	1297	LEG
35	ankle	803	ANKLE
36	heel	980	HEEL	In some lists confusion between ankle and heel is evident
37	blood	946	BLOOD
38	bone	1394	BONE
39	skin	763	SKIN
40	sore	51	SORE
41	fat	323	FAT (ORGANIC SUBSTANCE)
42	sweat	125	SWEAT (SUBSTANCE)
43	tears	1651	TEAR (OF EYE)
44	father	1217	FATHER
45	mother	1216	MOTHER
46	child	2099	CHILD
47	man	1554	MAN
48	woman	962	WOMAN
49	husband	1200	HUSBAND
50	name	1405	NAME	Morpheme cuts uncertain here
51	person	683	PERSON
52	wife	1199	WIFE
53	uncle	1327	UNCLE
54	singsing
55	house	1252	HOUSE
56	men's house	408	MEN'S HOUSE
57	door	1567	DOOR
58	story	2060	STORY
59	pig	1337	PIG
60	tusk	3280	TUSK
61	centipede	1974	CENTIPEDE
62	crayfish	467	CRAYFISH
63	dog	2009	DOG
64	louse	1392	LOUSE
65	fly (n)	1504	FLY (INSECT)
66	snake	730	SNAKE
67	egg	744	EGG
68	bird	937	BIRD
69	mosquito	1509	MOSQUITO
70	fish	227	FISH
71	squid	""	""
72	rat	1490	RAT
73	shark	1110	SHARK
74	whale	957	WHALE
75	stingray	1910	STINGRAY
76	butterfly	1791	BUTTERFLY
77	wing	1257	WING
78	ant (red)	587	ANT
79	flying fox	235	FLYING FOX
80	dolphin	1479	DOLPHIN
81	grasshopper	607	GRASSHOPPER
82	scorpion	1538	SCORPION
83	sea-snake
84	tail	1220	TAIL
85	turtle	112	TURTLE
86	spider web	1065	SPIDER WEB
87	biche de mer
88	feather	1201	FEATHER
89	meat	634	MEAT
90	food (veg.)	256	FOOD
91	yam	410	YAM
92	taro	351	TARO
93	sugar-cane	146	SUGAR CANE
94	almond	3815	ALMOND	Canarium almond
95	tree	906	TREE
96	leaf	628	LEAF
97	dry coconut
98	coconut palm	147	COCONUT TREE
99	banana	868	BANANA
100	breadfruit	2371	BREADFRUIT
101	sandalwood
102	flower	239	FLOWER
103	fruit	1507	FRUIT
104	grass	606	GRASS
105	root	670	ROOT
106	woods	420	FOREST
107	sun	1343	SUN
108	moon	1313	MOON
109	star	1430	STAR
110	cloud	1489	CLOUD
111	water	948	WATER
112	rain	658	RAIN (PRECIPITATION)
113	sand	671	SAND
114	stone	857	STONE
115	salt	1274	SALT
116	mountain	639	MOUNTAIN
117	fire	221	FIRE
118	smoke	778	SMOKE (EXHAUST)
119	ashes	646	ASH
120	road	667	ROAD
121	wind	960	WIND
122	lightning	1654	LIGHTNING
123	rainbow	1733	RAINBOW
124	earth	1228	EARTH (SOIL)
125	earthquake	6	EARTHQUAKE
126	hole	1667	HOLE
127	thunder	1150	THUNDER
128	fog	249	FOG
129	lake	624	LAKE
130	sea	1474	SEA
131	seed	714	SEED
132	sky	1732	SKY
133	stick	1295	STICK
134	firewood	10	FIREWOOD
135	mud	640	MUD
136	wave	978	WAVE
137	foam	1768	FOAM
138	canoe	1970	CANOE
139	paddle	234	PADDLE
140	anchor	1870	ANCHOR
141	outrigger	416	OUTRIGGER
142	sail	786	SAILCLOTH
143	dust	2	DUST
144	rope	1218	ROPE
145	bow	994	BOW
146	arrow	977	ARROW
147	knife	1352	KNIFE
148	axe	677	AXE
149	digging stick	339	DIGGING STICK
150	fish-hook	1074	FISHHOOK
151	spear	945	SPEAR
152	oven	1143	OVEN
153	fight	3880	FIGHT (COMBAT)
154	black	163	BLACK
155	white	1335	WHITE
156	red	156	RED
157	yellow	1424	YELLOW
158	green	1425	GREEN
159	blind	1653	BLIND
160	deaf	996	DEAF
161	big	1202	BIG
162	small	1246	SMALL
163	good	1035	GOOD
164	bad	1292	BAD
165	cooked	269	COOKED
166	dead	1625	DEAD
167	dry	1398	DRY
168	wet	1726	WET
169	lazy	1564	LAZY
170	heavy	1210	HEAVY
171	light	1052	LIGHT (WEIGHT)
172	sick	1847	SICK
173	cold	1287	COLD
174	dirty	1230	DIRTY
175	long	1203	LONG
176	narrow	1267	NARROW
177	new	1231	NEW
178	old	1229	OLD
179	right	1019	RIGHT
180	rotten	1728	ROTTEN
181	sharp	1396	SHARP
182	short	1645	SHORT
183	smooth	1234	SMOOTH
184	straight	1404	STRAIGHT
185	thick	1244	THICK
186	thin	2308	THIN
187	one	1493	ONE
188	two	1498	TWO
189	three	492	THREE
190	four	1500	FOUR
191	five	493	FIVE
192	six	1703	SIX
193	seven	1704	SEVEN
194	eight	1705	EIGHT
195	nine	1483	NINE
196	ten	1515	TEN
197	other	197	OTHER
198	who	1235	WHO
199	what	1236	WHAT
200	when	1238	WHEN	Sometimes expressed as what day?
201	how many	822	HOW MANY
202	many	1198	MANY
203	where	1237	WHERE
204	work	2281	WORKING OR WORK
205	warm	1232	WARM
206	yesterday	1174	YESTERDAY
207	tomorrow	1329	TOMORROW
208	night	1233	NIGHT
209	year	1226	YEAR
210	day	1225	DAY (NOT NIGHT)
211	I	1209	I
212	thou	1215	THOU
213	he	1211	HE
215	we pl.excl.	1130	WE (EXCLUSIVE)
216	you pl.	1213	YOU
214	we pl.incl.	1131	WE (INCLUSIVE)
217	they	817	THEY
218	we dl.incl.	2637	WE TWO (INCLUSIVE)
219	we dl.excl.	2636	WE TWO (EXCLUSIVE)
220	you dl.	2111	YOU TWO
221	they dl.	2635	THEY TWO
222	give	1447	GIVE
223	hit	1433	HIT
224	see	1409	SEE
225	bite	1403	BITE
226	hear	1408	HEAR
227	cry	1839	CRY
228	die	1494	DIE
229	vomit	1278	VOMIT
230	go	695	GO
231	come	1446	COME
232	swim	1439	SWIM
233	eat	1336	EAT
234	stand	1442	STAND
235	sit	1416	SIT
236	call out	715	SHOUT
237	run	1519	RUN
238	fall	1280	FALL
239	sleep	1585	SLEEP
240	laugh	1355	LAUGH
241	blow	176	BLOW (WITH MOUTH)
242	hold	1448	HOLD
243	fly	1441	FLY (MOVE THROUGH AIR)
244	tie	1917	TIE
245	spit	1440	SPIT
246	breathe	1407	BREATHE
247	burn	2102	BURN
248	count	1420	COUNT
249	cut	1432	CUT
250	dig	1418	DIG
251	drink	1401	DRINK
252	fear	1419	FEAR (BE AFRAID)
253	float	1574	FLOAT
254	flow	2003	FLOW
255	hunt	1435	HUNT
256	kill	1417	KILL
257	know	3626	KNOW
258	lie down	215	LIE DOWN
259	live	1422	BE ALIVE
260	play	1413	PLAY
261	pull	1455	PULL
262	push	1452	PUSH
263	rub	1449	RUB
264	say	1458	SAY	Mixture of transitive and intransitive forms evident.
265	scratch	1436	SCRATCH
266	sew	1457	SEW
267	sing	1261	SING
268	smell	2124	SMELL
269	split	1437	SPLIT
270	squeeze	1414	SQUEEZE
271	stab	1434	STAB
272	suck	1421	SUCK
273	swell	1573	SWELL
274	think	2271	THINK
275	throw	1456	THROW
276	turn	1588	TURN
277	walk	1443	WALK
278	wash	1453	WASH
279	wipe	1454	WIPE
280	all	98	ALL
281	and	1577	AND
282	far	1406	FAR
283	here	136	HERE
284	how	1239	HOW
285	if	1459	IF
286	in	1460	IN
287	near	1942	NEAR
288	not	1240	NOT
289	that	78	THAT
290	there	1937	THERE
291	this	1214	THIS
292	with	1340	WITH
