ID	Number	Name	Region	Locality	Collector	SubFamily	Group	SubGroup	Comment	FullName	Glottocode	Latitude	Longitude
hiw	1	Hiw	To	Torres Is.	D.T.Tryon/D.A.Rawcliffe	New Hebrides	North & Central New Hebrides	East New Hebrides		Hiw	hiww1237	-13.126367	166.584857
toga	2	Toga	To	Torres Is.	D.T.Tryon/D.A.Rawcliffe	New Hebrides	North & Central New Hebrides	East New Hebrides		Toga	loto1240	-13.334872	166.634338
lehali	3	Lehali	Ba	Banks Is.	D.T.Tryon/D.A.Rawcliffe	New Hebrides	North & Central New Hebrides	East New Hebrides		Lehali	leha1243	-13.5043	167.332
lehalurup	4	Lehalurup	Ba	Banks Is.	D.T.Tryon/D.A.Rawcliffe	New Hebrides	North & Central New Hebrides	East New Hebrides		Lehalurup	leha1244	-13.542726	167.343342
motlav	5	Motlav	Ba	Banks Is.	D.T.Tryon	New Hebrides	North & Central New Hebrides	East New Hebrides		Motlav	motl1237	-13.655015	167.706277
mota	6	Mota	Ba	Banks Is.	D.T.Tryon/D.A.Rawcliffe	New Hebrides	North & Central New Hebrides	East New Hebrides		Mota	mota1237	-13.835361	167.690924
vatrata	7	Vatrata	Ba	Banks Is.	D.T.Tryon/D.A.Rawcliffe	New Hebrides	North & Central New Hebrides	East New Hebrides		Vatrata	vera1241	-13.85181395	167.3958458
sasar	8	Sasar	Ba	Banks Is.	D.T.Tryon	New Hebrides	North & Central New Hebrides	East New Hebrides		Sasar	leme1238	-13.8072	167.39
vetumboso	9	Vetumboso	Ba	Banks Is.	D.T.Tryon/D.A.Rawcliffe	New Hebrides	North & Central New Hebrides	East New Hebrides		Vetumboso	vetu1237	-13.90299	167.45138
mosina	10	Mosina	Ba	Banks Is.	D.T.Tryon	New Hebrides	North & Central New Hebrides	East New Hebrides		Mosina	vure1239	-13.90547984	167.5015434
bek	11	Bek	Ba	Banks Is.	D.T.Tryon	New Hebrides	North & Central New Hebrides	East New Hebrides		Bek	leme1238	-13.739697	167.420676
nume	12	Nume	Ba	Banks Is.	D.T.Tryon/D.A.Rawcliffe	New Hebrides	North & Central New Hebrides	East New Hebrides		Nume	nume1241	-14.20655937	167.5152028
dorig	13	Dorig	Ba	Banks Is.	D.T.Tryon	New Hebrides	North & Central New Hebrides	East New Hebrides		Dorig	weta1242	-14.366666	167.545897
koro	14	Koro	Ba	Banks Is.	D.T.Tryon	New Hebrides	North & Central New Hebrides	East New Hebrides		Koro	koro1308	-14.35728954	167.4359024
wetamut	15	Wetamut	Ba	Banks Is.	D.T.Tryon	New Hebrides	North & Central New Hebrides	East New Hebrides		Wetamut	weta1242	-14.29383609	167.5913197
lakona	16	Lakona	Ba	Banks Is.	D.T.Tryon/D.A.Rawcliffe	New Hebrides	North & Central New Hebrides	East New Hebrides		Lakona	lako1245	-14.29899	167.429382
