LEXEME	REPLACEMENT
ᵐboro-k(u)	ᵐboro-k/ᵐboro-ku
s(ə)ŋo-	sŋo-/səŋo-
s(ə)ŋo-	sŋo-/səŋo-
að(ə)ni-	aðni-/aðəni-
as(ə)ntani	asntani/asəntani
ɔko-ð(ɨ)lŋɒ-	ɔko-ðlŋɒ-/ɔko-ðɨlŋɒ-
s(ɨ)plu-	splu-/sɨplu-
fap(ə)si-	fapsi-/fapəsi-
f(u)to-	fto-/futo-
r̃(ə)li-	r̃li-/r̃əli-
fap(ə)lani-	faplani-/fapəlani-
f(e)ri-	fri-/feri-
f(ə)ri-	fri-/fəri-
mamlot(i)	mamlot/mamloti
f(ə)ro-	fro-/fəro-
fɛt(i)	fɛt/fɛti
naða-ɣ(ə)la	naða-ɣla/naða-ɣəla
ur(ə)	ur/urə
fat(ɨ)lu-	fatlu-/fatɨlu-
m̈atˢia aβuaβ(u)	m̈atˢia aβuaβ/m̈atˢia aβuaβu
r(i)sie	rsie/risie
p(ə)li-	pli-/pəli-
raw(ə)nθia	rawnθia/rawənθia
nøtˢ(ɨ)	nøtˢ/nøtˢɨ
ha(m)patia	hapatia/hampatia
ma‧s(u)	ma‧s/ma‧su
ful(ə)	ful/fulə
ser(ə)k	serk/serək
aᵐp(u)	aᵐp/aᵐpu
p(ə)lsɨn ˤeβ	plsɨn ˤeβ/pəlsɨn ˤeβ
flɛᵐp(e)	flɛᵐp/flɛᵐpe
m(ə)ŋb(ə)le	mŋb(ə)le/məŋbəle
man(u)βaraβara	manβaraβara/manuβaraβara
m(ɨ)lmək	mlmək/mɨlmək
mukʷ(ə)	mukʷ/mukʷə
papar(ə)nete	paparnete/paparənete
palonaᵐb(u)	palonaᵐb/palonaᵐbu
patˢ(ə)βuk	patˢβuk/patˢəβuk
papan/murfat(u)	papan/murfat/murfatu
sin(ə)	sin/sinə
sin(ə)	sin/sinə
mata foᵑk(u)	mata foᵑk/mata foᵑku
mu-sat(i)	mu-sat/mu-sati
pus(ə)	pus/pusə
mɔ mat(i)	mɔ mat/mɔ mati
mɔ wɛt(i)	mɔ wɛt/mɔ wɛti
βar(a)βarai	βarβarai/βaraβarai
sa(m)pataroe	sapataroe/sampataroe
mɔ malɔᵑk(u)	mɔ malɔᵑk/mɔ malɔᵑku
tˢa(h)o	tˢao/tˢaho
mər (ə)ðek	mər ðek/mər əðek
s(i)ðye	sðye/siðye
noror(ə)	noror/nororə
nakerir(e)	nakerir/nakerire
natˢo(h)a	natˢoa/natˢoha
raθ(ə)-ru	raθ-ru/raθə-ru
raθ(ə)-tən	raθ-tən/raθə-tən
nɛnes(a)	nɛnes/nɛnesa
ˤ(ə)ðe	ˤðe/ˤəðe
y(ə)ˤən	yˤən/yəˤən
fat(e)ten	fatten/fateten
siɣ(i)le	siɣle/siɣile
n(ə)rəp	nrəp/nərəp
fos(ə)	fos/fosə
-oɣhi(pe)	-oɣhi/-oɣhipe
s(e)rip	srip/serip
-eni(pe)	-eni/-enipe
-(r)em̥a	-em̥a/-rem̥a
-(r)em̥æ	-em̥æ/-rem̥æ
p(e)p(i)nə/si	pepinə/pepnə/ppinə/si
s(ə)rep	srep/sərep
nal(i)	nal/nali
nus(u)	nus/nusu
t(ə)θe	tθe/təθe
-(mu)kœ	-kœ/-mukœ
-(mu)kœ	-kœ/-mukœ
-(mu)we	-we/-muwe
-(m)oniau	-oniau/-moniau
-au(ŋa)	-au/-auŋa
-(m)oniau	-oniau/-moniau
-(m)oniau	-oniau/-moniau
-(m)oniau	-oniau/-moniau
-(m)ialala	-ialala/-mialala
-(m)ielala	-ielala/-mielala
-(m)iaβa‧βa	-iaβa‧βa/-miaβa‧βa
ˤið(ə)rɨn	ˤiðrɨn/ˤiðərɨn
et(ə)ruru	etruru/etəruru
kluβtˢ(a)na	kluβtˢna/kluβtˢana
r(a)θe	rθe/raθe
r(ə)θe	rθe/rəθe
p(ə)rik	prik/pərik
-səⁿdaimi(ena)	-səⁿdaimi/-səⁿdaimiena
