Category	Grapheme	Grapheme-UC	Non-normal	Diacritics	BIPA	BIPA-UC	Segments	Graphemes	Count
generated	kpʷ	U+006b U+0070 U+02b7			kpʷ	U+006b U+0070 U+02b7	kpʷ i tʃ i + k	ᵏpʷiči-k	180
generated	dʳ	U+0064 U+02b3			dʳ	U+0064 U+02b3	dʳ e l e ŋ a + k	dʳeleŋa-k	41
generated	ⁿgʷ	U+207f U+0067 U+02b7			ⁿgʷ	U+207f U+0067 U+02b7	ⁿgʷ a t u + ŋ g u	ᵑgʷatu-ŋgu	57
generated	ⁿbʷ	U+207f U+0062 U+02b7			ⁿbʷ	U+207f U+0062 U+02b7	ⁿbʷ a t u + k	ᵐbʷatu-k	295
generated	tʳ	U+0074 U+02b3			tʳ	U+0074 U+02b3	tʳ a l n a + k u	tʳalna-ku	73
generated	ⁿdʳ	U+207f U+0064 U+02b3			ⁿdʳ	U+207f U+0064 U+02b3	ⁿdʳ n a + k	ⁿdʳna-k	415
generated	aˀ	U+0061 U+02c0			aˀ	U+0061 U+02c0	n aˀ a n tʃ u + ŋ	naˀanču-ŋ	197
generated	m̺	U+006d U+033a			m̺	U+006d U+033a	m̺ e m̺ e	m̈em̈e-	223
generated	ⁿɖ	U+207f U+0256			ⁿɖ	U+207f U+0256	u ⁿɖ u	uⁿḍu-	21
generated	nʷ	U+006e U+02b7			nʷ	U+006e U+02b7	m a + l u a + nʷ a	ma-lua-nʷa	7
generated	ᵑgʷ	U+1d51 U+0067 U+02b7	*		ⁿgʷ	U+207f U+0067 U+02b7	t i ᵑgʷ a + ⁿg u	tiᵑgʷ̣a-ᵑgu	1
generated	v̺	U+0076 U+033a			v̺	U+0076 U+033a	v̺ a h u + k	v̈ahu-k	139
generated	p̺	U+0070 U+033a			p̺	U+0070 U+033a	p̺ e r p̺ a r i	p̈erp̈ari-	118
generated	uˀ	U+0075 U+02c0			uˀ	U+0075 U+02c0	s uˀ u	suˀu	41
generated	oˀ	U+006f U+02c0			oˀ	U+006f U+02c0	n a + n oˀ a + ŋ	na-noˀa-ŋ	42
generated	œˀ	U+0153 U+02c0			œˀ	U+0153 U+02c0	p œˀ œ + k	pœˀœ-k	8
generated	m̥ʷ	U+006d U+0325 U+02b7			m̥ʷ	U+006d U+0325 U+02b7	n u + m̥ʷ e r i + k	nu-m̥ʷeri-k	26
generated	ⁿdʷ	U+207f U+0064 U+02b7			ⁿdʷ	U+207f U+0064 U+02b7	ⁿdʷ u	ⁿdʷu-	1
generated	lʷ	U+006c U+02b7			lʷ	U+006c U+02b7	mʷ ə lʷ d o k	mʷəlʷdok	1
generated	w̥	U+0077 U+0325			w̥	U+0077 U+0325	n a w̥ i + n a + m t a + k	naw̥i-na-mta-k	39
generated	βː	U+03b2 U+02d0			βː	U+03b2 U+02d0	r a βː e + k	raββe-k	1
generated	ⁿʰb	U+207f U+02b0 U+0062	*		ʰb	U+02b0 U+0062	ⁿʰb a ɣ e o	ᵐʰbaɣeo	5
generated	ⁿpʷ	U+207f U+0070 U+02b7			ⁿpʷ	U+207f U+0070 U+02b7	n a + ⁿpʷ o k a s i	na-ᵐpʷokasi	2
generated	ⁿw	U+207f U+0077			ⁿw	U+207f U+0077	a + ⁿw a n a i	a-ᵐwanai	2
generated	lˀ	U+006c U+02c0			lˀ	U+006c U+02c0	n i + m e t e lˀ a m	ni-metelˀam	6
generated	mˀ	U+006d U+02c0			mˀ	U+006d U+02c0	w oˀ o mˀ o m	woˀomˀom	3
generated	fʷ	U+0066 U+02b7			fʷ	U+0066 U+02b7	r u fʷ i e	rufʷie	1
generated	rˢ	U+0072 U+02e2			rˢ	U+0072 U+02e2	rˢ a l o	rˢalo	1
generated	bʳ	U+0062 U+02b3			bʳ	U+0062 U+02b3	s e bʳ e n o k	sebʳenok	1
generated	rʷ	U+0072 U+02b7			rʷ	U+0072 U+02b7	rʷ ɛ r	rʷɛr	1
generated	ⁿbʳ	U+207f U+0062 U+02b3			ⁿbʳ	U+207f U+0062 U+02b3	ts e ts ⁿbʳ i	-tˢetˢᵐbʳi	1
generated	βˀ	U+03b2 U+02c0			βˀ	U+03b2 U+02c0	kpʷ e βˀ e	ᵏpʷeβˀe	4
generated	ⁿβʷ	U+207f U+03b2 U+02b7			ⁿβʷ	U+207f U+03b2 U+02b7	ⁿβʷ i βʷ i n	-ᵐβʷiβʷin	1
generated	bdʳ	U+0062 U+0064 U+02b3			bdʳ	U+0062 U+0064 U+02b3	ⁿdʳ e m bdʳ e m	-ⁿdʳemᵇdʳem	1
modified	mːʷ	U+006d U+02d0 U+02b7			mʷː	U+006d U+02b7 U+02d0	n mʷ a mːʷ a	nmʷammʷa	1
unknown	ˀu	U+02c0 U+0075		◌ˀu	ˀu	U+02c0 U+0075	p u t u + ˀu	putu-ˀu	102
unknown	<?>	U+003c U+003f U+003e		◌<?>	<?>	U+003c U+003f U+003e	p a <?> t u	pa·tu	403
unknown	ř	U+0072 U+030c		◌ř	ř	U+0072 U+030c	n ř a l i ŋ a + k u	nřaliŋa-ku	35
unknown	ˀe	U+02c0 U+0065		◌ˀe	ˀe	U+02c0 U+0065	e ˀe + k u	eˀe-ku	55
unknown	ˀa	U+02c0 U+0061		◌ˀa	ˀa	U+02c0 U+0061	ˀa l o + ˀu	ˀalo-ˀu	141
unknown	ˀi	U+02c0 U+0069		◌ˀi	ˀi	U+02c0 U+0069	ˀi n e + k	ˀine-k	76
unknown	ˀœ	U+02c0 U+0153		◌ˀœ	ˀœ	U+02c0 U+0153	ˀœ kpʷ œ + k	ˀœᵏpʷœ-k	11
unknown	ˀo	U+02c0 U+006f		◌ˀo	ˀo	U+02c0 U+006f	n o + ˀo l s i n	no-ˀolsin	33
missing	ᵑ	U+1d51		◌ᵑ	ᵑ	U+1d51	p u r u <<ᵑ>> + k u	puruᵑ-ku	4
missing	ʷ	U+02b7		◌ʷ	ʷ	U+02b7	β a n u a _ u l u <<ʷ>> o u	βanua_uluʷou	1
