Grapheme	IPA	SCA	FREQUENCY	Frequence	EXAMPLES	Codepoints
^	NULL		40217	NULL	kʷuti-k;n-uyu-k;toiŋo-k;miti-k;kʷutu-k	NULL
$	NULL		44228	NULL	kʷuti-k;n-uyu-k;toiŋo-k;miti-k;kʷutu-k	NULL
-$	NULL		1136	NULL	bwozo-;li-;dalŋe-;bwa-ŋsu-;ᵐpatu-	NULL
^-	NULL		5147	NULL	-ru;-li;-hi;-kita;-lfe	NULL
a	a	A	38660	37099	ᵏpʷatu-k;manu-k;na-ᵏpʷtu-k;na-βlu-k;na-ᵏpʷuru-k	U+0061
a:	aː	A	1	NULL	mata:-ᵑku	NULL
aa	aː	A	1	2	ɣaaŋ	U+0061 U+0061
a·	aˑ	A	22	NULL	pa·tu;kauk_ka·pa;n-a·nu-k;apa·p;pa·p	NULL
a‧	aˑ	A	208	NULL	ma‧ta;bʷa‧se-;ta‧tope;na‧n;ma‧pe	NULL
f	f	B	1495	1413	fulu-ᵑgu;fa-mso-ᵑk;fulu-k;fulu-m;fulu-ᵑku	U+0066
v	v	B	7	7	vatˢae;mamava-k;vaᵐban;vatˢen;navarve	U+0076
β	β	B	6891	6703	βile-k;βili-k;βülü-k;βulu-k;βili-k	U+03b2
fʷ	fʷ	B	1	NULL	rufʷie	NULL
v̈	v̺	B	147	147	v̈ahu-k;v̈atə-k;v̈atə-k;laev̈a-k;v̈ihiɣol	U+0076 U+0308
βʷ	βʷ	B	161	159	βʷaβʷa-k;βʷaβʷa-k;βʷa-ᵑgu;βʷaβʷa-k;βʷaβʷa-k	U+03b2 U+02b7
ββ	βː	B	1	3	raββe-k	U+03b2 U+03b2
ᵐβʷ	ⁿβʷ	B	1	NULL	-ᵐβʷiβʷin	NULL
c	c	C	6	6	cou_yep;mʷacina;ŋo-parmʷec;marancea;čcčo	U+0063
ts	ts	C	5	5	lanutsu-;potsu-;na-tspl-n;ᵐbotsla-k;na-latsi-k	U+0074 U+0073
tˢ	ts	C	745	727	tˢaliɣa-ku;tˢiplæ-ŋ;tˢilβi;nə-xafəntˢələn;tˢiŋo-	U+0074 U+02e2
ð	ð	D	184	169	œβüð-;ɛðɛlhœ-;puðu-;mða-;œnɒð-	U+00f0
θ	θ	D	76	69	θonu-k;n̥aθe-k;θetˢu-;θɛču-ŋ;θəpʷə-k	U+03b8
ðð	ðː	D	3	3	aðði;aðði_βar;œβɒraðði	U+00f0 U+00f0
e	e	E	16591	16024	delŋo-k;ⁿdelŋo-k;ne-dɛlŋɛ-k;βile-k;delŋo-k	U+0065
æ	æ	E	978	940	tˢiplæ-ŋ;nə-pæsæŋa-k;nə-pæsæŋa-k;nu-ma-tælŋa-k;mʷa-tæliŋo-k	U+00e6
ə	ə	E	3733	3566	na-βəle;ne-ngingə;ᵐbarə-ᵑk;nə-βro;no-ɣonsə-ᵑk	U+0259
ɛ	ɛ	E	341	314	ne-dɛlŋɛ-k;ne-dɛlŋɛ-k;pɛro-ku;ɛðɛlhœ-;ɛðɛlhœ-	U+025b
e·	eˑ	E	2	NULL	pe·pe;na-le·pa	NULL
e̥	e̥	E	1	NULL	-lue̥	NULL
e‧	eˑ	E	27	NULL	te‧te;peɣe‧;pe‧pe;pe‧pe;ke‧ru	NULL
ɛ:	ɛː	E	2	2	pɛ:te;pɛ:t	U+025b U+003a
ɛ‧	ɛˑ	E	1	NULL	mɛ‧tˢ	NULL
x	x	G	1198	1186	xansi-ŋ;na-siβüx;na-xunsu-ᵑk;na-xunusu-ᵑk;xersa-ᵑk	U+0078
ɣ	ɣ	G	2904	2842	tˢaliɣa-ku;ɣoɣo-ku;ɣoɣo-ku;βuɣera-ᵐbaru;no-ɣonsə-ᵑk	U+0263
xʷ	xʷ	G	8	8	manoxʷa;saxʷana;na-ᵑgaxʷane;na-xʷe;tumano-xʷo	U+0078 U+02b7
ɣʷ	ɣʷ	G	17	15	ɣʷawa-ᵑgu;ɣʷiriu;dao-ɣʷai;ɣʷaŋa;ɣʷose	U+0263 U+02b7
h	h	H	2605	2493	hansø-ŋ;pʷariŋanhu-ᵑgu;malhu-ku;malhu-ku;malihu	U+0068
ɦ	ɦ	H	1	NULL	ssɨnəsəɦ	NULL
ʔ	ʔ	H	44	40	kʷiʔi-k;ᵏpʷiʔi-k;ᵏpʷiʔik;no-ʔu;na-ᵐbʷaʔi-ŋ	U+0294
ˀ	ʔ	H	819	19	putu-ˀu;wulu-ˀu;ɔnnɔ-ˀu;nunɔ-ˀu;patu-ˀu	U+02c0
ˤ	ʕ	H	67	NULL	ˤumi-ˀu;paˤasau-ˀu;ˤon;ˤarasi-ˀu;ˤanara	NULL
i	i	I	21927	21284	kʷuti-k;toiŋo-k;miti-k;miti-k;ᵏpʷiči-k	U+0069
ɨ	ɨ	I	35	27	ɔsɨŋɔ-;fɨlɨn-ese-;fɨlɨn-ese-;ɔko-ðɨlŋɒ-;sɨplu-	U+0268
ɯ	ɯ	I	2	NULL	ⁿdiŋaⁿdiŋanɯði-;sɯⁿdyaɣ	NULL
i:	iː	I	1	NULL	hi:mi	NULL
ii	iː	I	13	12	ni-ᵐbiin;fiot_iᵐbii-k;mʷiir;amaii;i-iil	U+0069 U+0069
i̥	i̥	I	5	NULL	tali̥;melasi̥;maⁿdili̥;taβalahi̥;-ali̥	NULL
i‧	iˑ	I	51	NULL	pi‧la;mʷi‧;βi‧n;tamati‧ti;n-i‧m	NULL
y	j	J	1046	1029	n-uyu-k;fiyo_ouru;yiwo-k;na-ŋyɛ-k;ni-ᵐpəɣya-ᵑk	U+0079
g	g	K	132	512	ne-ngingə;ne-ngingə;ngarsenk;kʰug;ngəsə-n	U+0067
k	k	K	9291	9346	kʷuti-k;n-uyu-k;toiŋo-k;miti-k;kʷutu-k	U+006b
gʷ	gʷ	K	5	18	kʷaŋ-gʷai;ŋgʷiloⁿdo;ᵑgʷangʷanu;oragʷe;aragʷe	U+0067 U+02b7
kk	kː	K	2	2	kekke;kkœrœr	U+006b U+006b
kʰ	kʰ	K	1	NULL	kʰug	NULL
kʷ	kʷ	K	472	467	kʷuti-k;kʷutu-k;kʷutu-k;ni-kʷti-k;kʷiʔi-k	U+006b U+02b7
ᵏp	kp	K	4	2	na-koᵏpkoᵏp;na-koᵏpkoᵏp;reᵏp;-ᵏparia	U+1d4f U+0070
ᵑg	ⁿg	K	1031	636	ᵑgʷatu-ᵑgu;ulu-ᵑgu;ᵑgʷoro-ᵑgu;lisu-ᵑgu;ᵑgʷatu-ᵑgu	U+1d51 U+0067
ᵑk	ⁿk	K	629	448	ᵐba-ᵑk;li-ᵑk;ᵐban-tilña-ᵑk;fa-mso-ᵑk;ᵑkalina-	U+1d51 U+006b
ᵏpʷ	kpʷ	K	192	131	ᵏpʷiči-k;ᵏpʷatu-k;ᵏpʷoro-k;ᵏpʷiʔi-k;ᵏpʷutu-k	U+1d4f U+0070 U+02b7
ᵑgʷ	ⁿgʷ	K	59	45	ᵑgʷatu-ᵑgu;ᵑgʷoro-ᵑgu;ᵑgʷatu-ᵑgu;ᵑgʷero-ᵑgu;ᵑgʷaŋo-ᵑgu	U+1d51 U+0067 U+02b7
ᵑkʷ	ⁿkʷ	K	1	NULL	-aᵑkʷas	NULL
ᵑgʷ̣	ⁿgʷ	K	1	NULL	tiᵑgʷ̣a-ᵑgu	NULL
l	l	L	11446	11126	lu-k;delŋo-k;wulu-k;ⁿdelŋo-k;li-k	U+006c
ll	lː	L	30	28	tallna-;surko-lla-k;na-lla-k;na-lla-k;kelllə-k	U+006c U+006c
lʷ	lʷ	L	1	NULL	mʷəlʷdok	NULL
l̥	l̥	L	73	73	na-l̥ua-k;na-l̥œ-k;no-l̥i-k;no-l̥i-k;səmun_bal̥e-k	U+006c U+0325
m	m	M	10935	10739	miti-k;mudu-k;muⁿd-k;müⁿdü-k;ni-mdi-k	U+006d
mm	mː	M	13	13	məmme-ɣ;mammloti-;ne-mmeniau;nə-mmat;na-nmemmenis	U+006d U+006d
mʷ	mʷ	M	1427	1405	paru-mʷa;βilu_paru-mʷa;kilŋa-mʷa;kunu-mʷa;nə-mʷai-nu-kʷanea-k	U+006d U+02b7
m̈	m̺	M	251	246	m̈em̈e-;m̈em̈e-;m̈em̈e-;m̈em̈e-;m̈em̈e-ku	U+006d U+0308
m̥	m̥	M	51	49	na-m̥ta-k;kam̥alim̥al;kam̥alim̥al;knam̥aləm̥al;knam̥aləm̥al	U+006d U+0325
mmʷ	mʷː	M	1	NULL	nmʷammʷa	NULL
m̥ʷ	m̥ʷ	M	26	26	nu-m̥ʷeri-k;nə-m̥ʷerə-k;nə-m̥ʷere-n;nə-m̥ʷerə-n;kəm̥ʷau	U+006d U+0325 U+02b7
n	n	N	18215	17960	n-uyu-k;ⁿdœlnœ-k;ni-kʷti-k;n-ili-k;ne-dɛlŋɛ-k	U+006e
ñ	ɲ	N	129	129	ᵐban-tilña-ᵑk;raiñe-ŋ;ⁿdalñe-ŋ;ⁿdeliño-k;ⁿdeliño-k	U+00f1
ŋ	ŋ	N	4069	3987	toiŋo-k;delŋo-k;ⁿdelŋo-k;ne-dɛlŋɛ-k;delŋo-k	U+014b
ᵑ	ŋ	N	5	2	aᵑand;na-ᵑai;tuaᵑa;miᵑut;-xaxaᵑd	NULL
nn	nː	N	14	16	ɔnnɔ-ˀu;nə-pʷənnəpʷən;no-wennowen;ɔnnokar;nanno	U+006e U+006e
nʷ	nʷ	N	6	7	nə-nʷaŋ-nal̥e;nʷaxata;nʷaɣata;nʷe-se;nʷa-taktak	U+006e U+02b7
n̥	n̥	N	101	97	nu-pʷaŋ-nan̥a-k;nə-pʷaŋ-nan̥a-k;ᵐbaŋ-nan̥a-k;nə-pʷaŋ-n̥aŋə-n;nə-pʷə-n̥aŋo-k	U+006e U+0325
n‧	nˑ	N	1	NULL	mi-manin‧	NULL
ñ̥	ɲ̊	N	1	NULL	na-pʷaŋ-ñ̥iŋi-k	NULL
ŋʷ	ŋʷ	N	92	91	ŋʷarasa;woŋʷal;woŋʷal;ⁿdiŋʷaŋo-ᵑgu;ⁿdiŋʷaŋo-ᵑgu	U+014b U+02b7
ɒ	ɒ	O	34	28	œβrɒ-;œβɒr-;œnɒ-;œnɒð-;n-øl_œβɛhɒ-	U+0252
b	b	P	365	1352	buču-k;bwozo-;bwa-ŋsu-;batu-k;boro-k	U+0062
