LanguageInSource	LanguageNumber	Language	Region	ConceptInSource	ConceptNumber	Concept	Value	Page	Image	Coordinates	Footnote
1. Hiw (To)	1	Hiw	To	1. head	1	head	kʷuti-k	175	0004_p004.jpg	782,525 782,619 1090,619 1090,525	
1. Hiw (To)	1	Hiw	To	2. hair	2	hair	n-uyu-k	175	0004_p004.jpg	1090,525 1090,619 1357,619 1357,525	
1. Hiw (To)	1	Hiw	To	3. ear	3	ear	toiŋo-k	175	0004_p004.jpg	1357,525 1357,619 1733,619 1733,525	
1. Hiw (To)	1	Hiw	To	4. nose	4	nose	miti-k	175	0004_p004.jpg	1733,525 1733,619 2227,619 2227,525	
2. Toga (To)	2	Toga	To	1. head	1	head	kʷutu-k	175	0004_p004.jpg	782,619 782,690 1090,690 1090,619	
2. Toga (To)	2	Toga	To	2. hair	2	hair	lu-k	175	0004_p004.jpg	1090,619 1090,690 1357,690 1357,619	
2. Toga (To)	2	Toga	To	3. ear	3	ear	delŋo-k	175	0004_p004.jpg	1357,619 1357,690 1733,690 1733,619	
2. Toga (To)	2	Toga	To	4. nose	4	nose	mudu-k	175	0004_p004.jpg	1733,619 1733,690 2227,690 2227,619	
3. Lehali (Ba)	3	Lehali	Ba	1. head	1	head	kʷutu-k	175	0004_p004.jpg	782,690 782,748 1090,748 1090,690	
3. Lehali (Ba)	3	Lehali	Ba	2. hair	2	hair	wulu-k	175	0004_p004.jpg	1090,690 1090,748 1357,748 1357,690	
3. Lehali (Ba)	3	Lehali	Ba	3. ear	3	ear	ⁿdelŋo-k	175	0004_p004.jpg	1357,690 1357,748 1733,748 1733,690	
3. Lehali (Ba)	3	Lehali	Ba	4. nose	4	nose	muⁿd-k	175	0004_p004.jpg	1733,690 1733,748 2227,748 2227,690	
4. Lehalurup (Ba)	4	Lehalurup	Ba	1. head	1	head	ᵏpʷiči-k	175	0004_p004.jpg	782,748 782,819 1090,819 1090,748	
