ID	Number	Name	Region	Locality	Collector	SubFamily	Group	SubGroup	Comment
bonkovia	139	Bonkovia	Ep	Epi	DT	New Hebrides	North & Central New Hebrides	Epi
aore	71	Aore		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo
fortsenal	53	Fortsenal		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo
araki	75	Araki		Santo	DT	New Hebrides	North & Central New Hebrides	West Santo
navut	47	Navut		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo
mate	135	Mate	Ep	Epi	DT	New Hebrides	North & Central New Hebrides	Epi
nul	136	Nul	Ep	Epi	DT	New Hebrides	North & Central New Hebrides	Epi
maxbaxo	78	Maxbaxo		Malekula	DT	New Hebrides	North & Central New Hebrides	Malekula Coastal
yatuk	164	Yatuk.	Ta	Tanna	DT	New Hebrides	Tanna	Tanna
lakona	16	Lakona	Ba	Banks Is.	DT/D.A.Rawcliffe	New Hebrides	North & Central New Hebrides	East New Hebrides
tangoa	74	Tangoa		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo
futuna	179	Futuna		Futuna	DT	Polynesian	""
timbembe	89	Timbembe		Malekula	DT	New Hebrides	North & Central New Hebrides	Malekula Central
merlav	18	Merlav	Ba	Banks Is.	DT	New Hebrides	North & Central New Hebrides	East New Hebrides
lolomatui	27	Lolomatui	Ao	Aoba	DT	New Hebrides	North & Central New Hebrides	East New Hebrides
sesake	151	Sesake	Sh	Shepherd Is.	DT	New Hebrides	North & Central New Hebrides	Central New Hebrides
bonga	145	Bonga.	Sh	Shepherd Is.	DT	New Hebrides	North & Central New Hebrides	Central New Hebrides
siviri	154	Siviri	Ef	Efate	DT	New Hebrides	North & Central New Hebrides	Central New Hebrides
vunapu	42	Vunapu		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo
rerep	87	Rerep		Malekula	DT	New Hebrides	North & Central New Hebrides	Malekula Coastal
vao	102	Vao		Malekula	DT	New Hebrides	North & Central New Hebrides	Malekula Coastal
aniwa	178	Aniwa		Aniwa	DT	Polynesian	""
enfit	175	Enfit.	Ta	Tanna	DT	New Hebrides	Tanna	Tanna
akei	52	Akei		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo
tur	62	Tur		Santo	A.L.Jackson	New Hebrides	East Santo	South-East Santo
leviamp	108	Leviamp		Malekula	DT	New Hebrides	Malekula Interior	Malekula Central
aulua	85	Aulua		Malekula	DT	New Hebrides	North & Central New Hebrides	Malekula Coastal
toak	125	Toak	Am	Ambrym	DT	New Hebrides	North & Central New Hebrides	East New Hebrides
vowa	144	Vowa	Ep	Epi	DT	New Hebrides	North & Central New Hebrides	Epi	called Vovo in the overview
lenau	170	Lenau.	Ta	Tanna	DT	New Hebrides	Tanna	Tanna
ngwatua	28	Ngwatua	Ao	Aoba	DT	New Hebrides	North & Central New Hebrides	East New Hebrides
pwele	153	Pwele	Ef	Efate	G.W.Grace	New Hebrides	North & Central New Hebrides	Central New Hebrides
burupika	140	Burupika	Ep	Epi	DT	New Hebrides	North & Central New Hebrides	Epi
laul	129	Laul	Pa	Paama	DT	New Hebrides	North & Central New Hebrides	East New Hebrides	Actually on Epi; refugees from Paama (Lopevi)
windua	117	Windua	Ma	Malekula	DT	New Hebrides	Malekula Interior	Labo
nuvi	134	Nuvi	Ep	Epi	DT	New Hebrides	North & Central New Hebrides	Epi
marino	19	Marino	Ma	Maewo	D.A.Rawcliffe	New Hebrides	North & Central New Hebrides	East New Hebrides
wailapa	56	Wailapa		Santo	DT	New Hebrides	North & Central New Hebrides	West Santo
portr	165	Port R.	Ta	Tanna	DT	New Hebrides	Tanna	Tanna
merig	17	Merig	Ba	Banks Is.	DT/D.A.Rawcliffe	New Hebrides	North & Central New Hebrides	East New Hebrides
sie	161	Sie	Er	Erromanga	DT	New Hebrides	Erromanga	Erromanga
sowa	34	Sowa	Pe	Pentecost	D.S.Walsh	New Hebrides	North & Central New Hebrides	East New Hebrides
toga	2	Toga	To	Torres Is.	DT/D.A.Rawcliffe	New Hebrides	North & Central New Hebrides	East New Hebrides
lametin	48	Lametin		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo
tautu	95	Tautu		Malekula	DT	New Hebrides	North & Central New Hebrides	Malekula Coastal
burumba	142	Burumba	Ep	Epi	DT	New Hebrides	North & Central New Hebrides	Epi
vovo	105	Vovo		Malekula/Epi	DT	New Hebrides	North & Central New Hebrides	Malekula Coastal/Epi
faulili	128	Faulili	Pa	Paama	DT	New Hebrides	North & Central New Hebrides	East New Hebrides
piamatsina	43	Piamatsina		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo
morouas	49	Morouas		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo
fila	159	Fila	Ef	Efate	DT	Polynesian	""
hiw	1	Hiw	To	Torres Is.	DT/D.A.Rawcliffe	New Hebrides	North & Central New Hebrides	East New Hebrides
lapwang	172	Lapwang.	Ta	Tanna	DT	New Hebrides	Tanna	Tanna
malosouth	73	Malo South		Malo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo	""
apma	31	Apma	Pe	Pentecost	DT	New Hebrides	North & Central New Hebrides	East New Hebrides
fonah	120	Fonah	Am	Ambrym	DT	New Hebrides	North & Central New Hebrides	East New Hebrides
burmbar	82	Burmbar		Malekula	DT	New Hebrides	New & Central New Hebrides	Malekula Coastal
iarkei	166	Iarkei	Ta	Tanna	DT	New Hebrides	Tanna	Tanna
ikiti	176	Ikiti	Ta	Tanna	DT	New Hebrides	Tanna	Tanna
nikaura	133	Nikaura	Ep	Epi	DT	New Hebrides	North & Central New Hebrides	Epi
petarmur	106	Petarmur		Malekula	G.Fox	New Hebrides	North & Central New Hebrides	Malekula Coastal
imreang	173	Imreang	Ta	Tanna	DT	New Hebrides	Tanna	Tanna
woraviu	150	Woraviu	Sh	Shepherd Is.	DT	New Hebrides	North & Central New Hebrides	Central New Hebrides
larevat	110	Larevat		Malekula	DT	New Hebrides	Malekula Interior	Malekula Central
maat	126	Maat	Am	Ambrym	DT	New Hebrides	North & Central New Hebrides	East New Hebrides	""
portsandwich	81	Port Sandwich		Malekula	DT	New Hebrides	North & Central New Hebrides	Malekula Coastal
lolsiwoi	29	Lolsiwoi	Ao	Aoba	D.A.Rawcliffe	New Hebrides	North & Central New Hebrides	East New Hebrides
visina	131	Visina	Ep	Epi	DT	New Hebrides	North & Central New Hebrides	Epi
penantsiro	54	Penantsiro		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo
navenevene	21	Navenevene	Ma	Maewo	DT/D.A.Rawcliffe	New Hebrides	North & Central New Hebrides	East New Hebrides
yevali	141	Yevali	Ep	Epi	DT	New Hebrides	North & Central New Hebrides	Epi
isiai	163	Isiai	Ta	Tanna	DT	New Hebrides	Tanna	Tanna
nasawa	23	Nasawa	Ma	Maewo	DT	New Hebrides	North & Central New Hebrides	East New Hebrides
sharkbayi	67	Shark Bay I		Santo	J.Guy	New Hebrides	East Santo	South-East Santo
makatea	149	Makatea	Sh	Shepherd Is.	DT	Polynesian	""
sakao	65	Sakao		Santo	J.Guy	New Hebrides	East Santo	Sakao
